"ID","BAND_ID","SPINOFF_ID"
137,"6706f2c315c2b9798b2b0a8d","6706f46d15c2b9798b2b0ca5"
160,"6706f65415c2b9798b2b0eed","6706f4a315c2b9798b2b0cea"
139,"6706f2c315c2b9798b2b0a8d","6706f46f15c2b9798b2b0caa"
140,"6706f2d515c2b9798b2b0aa3","6706f2e215c2b9798b2b0ab8"
141,"6706f2e115c2b9798b2b0ab6","6706f49f15c2b9798b2b0ce8"
302,"6777fb99570d610a11a678a9","6777fb9d570d610a11a678ae"
144,"6706f32215c2b9798b2b0b1d","6706f54415c2b9798b2b0db2"
147,"6706f32315c2b9798b2b0b1e","6706f35415c2b9798b2b0b53"
186,"6706f42f15c2b9798b2b0c5f","6706f38a15c2b9798b2b0b8a"
149,"6706f56415c2b9798b2b0dea","6706f32415c2b9798b2b0b22"
150,"6706f45815c2b9798b2b0c83","6706f21815c2b9798b2b09c0"
209,"67082e705f2a9b4b88ae08aa","6706f59615c2b9798b2b0e19"
152,"6706f46215c2b9798b2b0c92","6706f59415c2b9798b2b0e15"
153,"6706f4c215c2b9798b2b0d01","6706f5e215c2b9798b2b0e72"
200,"6706f3b615c2b9798b2b0bc3","6706f58f15c2b9798b2b0e0e"
155,"6706f4c215c2b9798b2b0d01","6706f4c215c2b9798b2b0d02"
156,"6706f4c815c2b9798b2b0d0d","6706f5fe15c2b9798b2b0e9b"
157,"6706f4c815c2b9798b2b0d0d","6706f4c915c2b9798b2b0d0f"
158,"6706f4c815c2b9798b2b0d0d","6706f4c815c2b9798b2b0d0e"
159,"6706f2c315c2b9798b2b0a8d","6706f46f15c2b9798b2b0cab"
161,"6706f4a315c2b9798b2b0cea","6706f65515c2b9798b2b0eef"
162,"6706f4a315c2b9798b2b0cea","6706f65515c2b9798b2b0eee"
164,"6706f28615c2b9798b2b0a43","6706f3a115c2b9798b2b0ba9"
166,"6706f3a115c2b9798b2b0ba9","6706f3a315c2b9798b2b0bac"
168,"6706f68115c2b9798b2b0f15","6706f3a315c2b9798b2b0bac"
169,"6706f28615c2b9798b2b0a43","6706f3a315c2b9798b2b0bac"
172,"6706f3af15c2b9798b2b0bbb","6706f68c15c2b9798b2b0f22"
