"ID","BAND_ID","MEMBER_ID"
628,"6706f35415c2b9798b2b0b52","6706f3e015c2b9798b2b0bf9"
629,"6706f35415c2b9798b2b0b52","6706f3e015c2b9798b2b0bf8"
630,"6706f35415c2b9798b2b0b52","6706f26f15c2b9798b2b0a1c"
631,"6706f35415c2b9798b2b0b52","6706f3df15c2b9798b2b0bf7"
1583,"6706f42f15c2b9798b2b0c5f","67082d2a5f2a9b4b88ae077b"
1584,"6706f42f15c2b9798b2b0c5f","67082d275f2a9b4b88ae0770"
1585,"6706f42f15c2b9798b2b0c5f","67082d295f2a9b4b88ae0776"
635,"6706f35415c2b9798b2b0b53","6706f3e715c2b9798b2b0c00"
636,"6706f35415c2b9798b2b0b53","6706f26f15c2b9798b2b0a1c"
1587,"6706f43015c2b9798b2b0c61","67082d2e5f2a9b4b88ae077d"
638,"6706f35415c2b9798b2b0b54","6706f3ee15c2b9798b2b0c09"
639,"6706f35415c2b9798b2b0b54","6706f26e15c2b9798b2b0a1a"
640,"6706f35415c2b9798b2b0b54","6706f29815c2b9798b2b0a5f"
1588,"6706f43015c2b9798b2b0c61","67082d2f5f2a9b4b88ae077f"
1589,"6706f43015c2b9798b2b0c61","67082d2e5f2a9b4b88ae077e"
644,"6706f35415c2b9798b2b0b54","6706f26f15c2b9798b2b0a1c"
1592,"67082d345f2a9b4b88ae0785","6706f43515c2b9798b2b0c68"
647,"6706f35515c2b9798b2b0b56","6706f26f15c2b9798b2b0a1c"
648,"6706f35515c2b9798b2b0b56","6706f3f215c2b9798b2b0c0c"
1593,"67082d335f2a9b4b88ae0783","6706f43515c2b9798b2b0c68"
1594,"6706f38b15c2b9798b2b0b8b","6706f43515c2b9798b2b0c68"
651,"6706f35515c2b9798b2b0b56","6706f3f315c2b9798b2b0c0e"
653,"6706f35515c2b9798b2b0b56","6706f3f215c2b9798b2b0c0b"
654,"6706f35b15c2b9798b2b0b5c","6706f3fc15c2b9798b2b0c1c"
655,"6706f35b15c2b9798b2b0b5c","6706f3fa15c2b9798b2b0c17"
656,"6706f35b15c2b9798b2b0b5c","6706f3fc15c2b9798b2b0c1d"
658,"6706f35b15c2b9798b2b0b5c","6706f3fb15c2b9798b2b0c1b"
659,"6706f35b15c2b9798b2b0b5c","6706f27215c2b9798b2b0a1f"
660,"6706f35b15c2b9798b2b0b5c","6706f3fc15c2b9798b2b0c1e"
1597,"6706f38b15c2b9798b2b0b8b","6706f43515c2b9798b2b0c69"
662,"6706f35b15c2b9798b2b0b5c","6706f3f915c2b9798b2b0c15"
663,"6706f35b15c2b9798b2b0b5c","6706f3f915c2b9798b2b0c16"
664,"6706f35b15c2b9798b2b0b5c","6706f3fa15c2b9798b2b0c19"
665,"6706f35b15c2b9798b2b0b5c","6706f3f915c2b9798b2b0c14"
666,"6706f35b15c2b9798b2b0b5c","6706f3fb15c2b9798b2b0c1a"
667,"6706f35b15c2b9798b2b0b5d","6706f40115c2b9798b2b0c28"
668,"6706f35b15c2b9798b2b0b5d","6706f40015c2b9798b2b0c24"
669,"6706f35b15c2b9798b2b0b5d","6706f40315c2b9798b2b0c2d"
670,"6706f35b15c2b9798b2b0b5d","6706f40815c2b9798b2b0c3b"
671,"6706f35b15c2b9798b2b0b5d","6706f40515c2b9798b2b0c33"
672,"6706f35b15c2b9798b2b0b5d","6706f40415c2b9798b2b0c31"
673,"6706f35b15c2b9798b2b0b5d","6706f40415c2b9798b2b0c30"
674,"6706f35b15c2b9798b2b0b5d","6706f40315c2b9798b2b0c2e"
675,"6706f35b15c2b9798b2b0b5d","6706f40215c2b9798b2b0c29"
97,"6706f02f9ded543374d12d9f","6706f02b9ded543374d12d93"
98,"6706f02f9ded543374d12d9f","6706f0ff45fe7efa4ac730f5"
99,"6706f02f9ded543374d12d9f","6706f02b9ded543374d12d94"
100,"6706f0a290b652736e310733","6706f1ce15c2b9798b2b095f"
102,"6706f0a290b652736e310733","6706f0299ded543374d12d8e"
103,"6706f0a390b652736e310734","6706f1d215c2b9798b2b0964"
104,"6706f0a390b652736e310734","6706f0299ded543374d12d8e"
