"ID","NAME","LINK","TYPE","EXTRAS","DISCOVERED","ERROR"
"67082c805f2a9b4b88ae06d5","Alanis Morissette","Alanis Morissette","person",{"citizenship":"{{ubl|Canada|United States (from 2005)}}","birth_place":"[[Ottawa]], Ontario, Canada","spouse":"{{marriage|[[Souleye (hip hop artist)|Mario Treadway]]|2010}}","awards":"[[List of awards and nominations received by Alanis Morissette|Full list]]","relatives":"{{ubl|[[Wade Morissette]] (brother)}}","instrument":[{"name":"Vocals"},{"name":"guitar"},{"name":"harmonica"}],"birth_date":"{{birth date and age|1974|06|01}}","caption":"Morissette in 2014","signature":"Alanis Morissette signature, Billboard Open Letter 2016.svg","years_active":"1986–present","website":"{{URL|alanis.com}}","children":"3","birth_name":"Alanis Nadine Morissette","image":"Alanis Morissette 5-19-2014.jpg","occupation":[{"name":"Singer"},{"name":"songwriter"},{"name":"musician"}]},true,""
"677813d42ad4b9f331704b1c","Alcatrazz","Alcatrazz","group_or_band",null,false,""
"6708321bf5951699062f908d","Alec Morton","","person",null,false,""
"67082ff6f5951699062f8e56","Alex Brown","","person",null,false,""
"67082f75f5951699062f8e0a","Alex Foster","Alex Foster (musician)","person",null,false,""
"670830eaf5951699062f8f75","Alex Gates","","person",null,false,""
"67082d285f2a9b4b88ae0773","Alex Haythorn","","person",null,true,"LookupError"
"6706f57c15c2b9798b2b0dfe","Alex Howland","","person",null,true,"LookupError"
"6706f3fc15c2b9798b2b0c1e","Alex Kopp","","person",null,true,"LookupError"
"6706f3f915c2b9798b2b0c16","Alex LeCavalier","","person",null,true,"LookupError"
